#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type
Al,2,198.86970000,3.60000000E+06,C,11.84675300,18.08119800,5,3,
Al,2,198.87330000,1.20000000E+06,D,11.84686900,18.08119800,3,3,
Al,2,199.05330000,1.38000000E+09,A,7.42070500,13.64939900,3,5,
Al,2,199.10520000,4.77000000E+06,D,11.84686900,18.07393900,3,1,
Al,2,201.60520000,9.82000000E+07,C+,11.84661800,17.99448500,7,9,
Al,2,201.61890000,1.10000000E+07,D,11.84661800,17.99406600,7,7,
Al,2,201.62340000,8.73000000E+07,C+,11.84675300,17.99406600,5,7,
Al,2,201.62880000,4.32000000E+05,E,11.84661800,17.99376600,7,5,
Al,2,201.63320000,1.53000000E+07,D,11.84675300,17.99376600,5,5,
Al,2,201.63700000,8.25000000E+07,C,11.84686900,17.99376600,3,5,
Al,2,202.20820000,4.05000000E+07,C+,10.59833700,16.72787400,5,3,
Al,2,207.40090000,1.41000000E+08,B,10.59833700,16.57442800,5,7,
Al,2,209.42630000,1.84000000E+08,C+,11.84661800,17.76492100,7,9,
Al,2,209.47410000,2.05000000E+07,D,11.84661800,17.76357100,7,7,
Al,2,209.47890000,1.64000000E+08,C+,11.84675300,17.76357100,5,7,
Al,2,209.50490000,8.10000000E+05,E,11.84661800,17.76269900,7,5,
Al,2,209.50970000,2.87000000E+07,D,11.84675300,17.76269900,5,5,
Al,2,209.51380000,1.55000000E+08,C+,11.84686900,17.76269900,3,5,
Al,1,211.83160000,1.03000000E+07,C,0.00000000,5.85110900,2,4,
Al,1,212.33586000,2.00000000E+06,D,0.01389380,5.85110900,4,4,
Al,1,212.33586000,1.22000000E+07,C,0.01389380,5.85110900,4,6,
Al,1,212.96627000,1.52000000E+07,C,0.00000000,5.81993900,2,4,
Al,1,213.47331000,1.81000000E+07,C,0.01389380,5.82001000,4,6,
Al,1,213.47596000,3.00000000E+06,D,0.01389380,5.81993900,4,4,
Al,1,214.55548000,2.06000000E+07,C,0.00000000,5.77683500,2,4,
Al,1,215.06989000,2.46000000E+07,C,0.01389380,5.77691400,4,6,
Al,1,215.07280000,4.09000000E+06,E,0.01389380,5.77683500,4,4,
Al,1,216.88265000,2.96000000E+07,C,0.00000000,5.71485620,2,4,
Al,1,217.40707000,3.53000000E+07,C,0.01389380,5.71496630,4,6,
Al,1,217.41127000,5.88000000E+06,E,0.01389380,5.71485620,4,4,
Al,2,219.26040000,2.47000000E+08,C+,11.84661800,17.49950800,7,9,
Al,2,219.41910000,2.74000000E+07,C,11.84661800,17.49541800,7,7,
Al,2,219.42440000,2.19000000E+08,C+,11.84675300,17.49541800,5,7,
Al,2,219.54040000,1.08000000E+06,E,11.84661800,17.49229700,7,5,
Al,2,219.54570000,3.83000000E+07,C,11.84675300,17.49229700,5,5,
Al,2,219.55020000,2.07000000E+08,C+,11.84686900,17.49229700,3,5,
