#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type
Fe,2,225.88226500,2.10000000E+06,D+,7.91965500,13.40684200,12,14,
Fe,2,225.88648100,1.50000000E+07,D+,7.53913680,13.02622140,10,12,
Fe,2,225.92243300,1.80000000E+07,D+,7.56821050,13.05442200,6,8,
Fe,1,225.92824400,1.30000000E+06,C,0.05156912,5.53763954,7,5,
Fe,1,225.95100600,5.66000000E+06,B+,0.00000000,5.48551782,9,11,
Fe,2,225.95411600,6.40000000E+06,D+,7.51659730,13.00203960,12,10,
Fe,2,225.96247100,2.20000000E+07,D+,4.15363129,9.63887080,8,6,
Fe,2,225.98011700,1.20000000E+06,D,7.51659730,13.00140860,12,12,
Fe,2,225.98576700,1.70000000E+06,D,7.78981200,13.27448610,2,4,
Fe,2,226.00794300,3.18000000E+06,B,0.00000000,5.48413599,10,10,
Fe,2,226.02388400,3.40000000E+06,D,0.12113874,5.60488800,2,2,
Fe,2,226.04136200,6.50000000E+06,D+,7.54289610,13.02622140,14,12,
Fe,2,226.05162100,1.00000000E+07,D+,7.57461700,13.05769340,6,4,
Fe,2,226.08589600,2.16000000E+06,C+,0.10695023,5.58919550,4,6,
Fe,2,226.12062800,2.20000000E+07,D+,7.77255380,13.25395710,6,8,
Fe,2,226.18298400,2.80000000E+07,D+,7.55767760,13.03756990,8,10,
Fe,2,226.18658700,8.00000000E+06,D+,7.57461700,13.05442200,6,8,
Fe,2,226.22458900,1.80000000E+06,D,2.82812245,8.30700700,8,6,
Fe,2,226.23284300,8.00000000E+06,D+,7.98773220,13.46641690,6,6,
Fe,2,226.24273600,1.20000000E+07,D+,7.53913680,13.01758190,10,8,
Fe,2,226.26865000,1.98000000E+06,B,0.10695023,5.58476799,4,4,
Fe,2,226.29066500,1.00000000E+07,D+,5.95609042,11.43337530,6,4,
Fe,2,226.32322600,3.70000000E+07,D+,3.26732671,8.74382370,10,8,
Fe,2,226.34732700,6.50000000E+06,D+,7.55767760,13.03359150,8,8,
Fe,2,226.43200600,2.20000000E+06,D+,2.65702556,8.13089180,12,12,
Fe,2,226.45901800,3.70000000E+07,D+,3.24468891,8.71790230,12,10,
Fe,2,226.48174800,3.80000000E+06,D+,7.51659730,12.98926150,12,12,
Fe,1,226.50541200,1.43000000E+06,C,0.05156912,5.52366156,7,7,
Fe,2,226.59937100,1.00000000E+06,D,0.08278213,5.55260578,6,6,
Fe,2,226.61306200,6.00000000E+05,D,2.67577925,8.14527250,10,10,
Fe,2,226.62546500,3.30000000E+06,D+,2.63486052,8.10405440,14,12,
Fe,2,226.63939400,3.70000000E+06,D+,7.53913680,13.00799460,10,10,
Fe,2,226.67047100,8.00000000E+06,D+,3.94416230,9.41227030,6,6,
Fe,2,226.67061500,3.00000000E+07,D+,8.13089180,13.59899640,12,12,
Fe,1,226.70844700,4.57000000E+06,B,0.05156912,5.51876133,7,5,
Fe,2,226.75855900,3.69000000E+06,C+,0.08278213,5.54876624,6,8,
Fe,2,226.80374800,2.00000000E+07,D+,7.77255380,13.23744890,6,8,
Fe,2,226.81357700,7.50000000E+06,D+,2.34166141,7.80631980,2,4,
Fe,2,226.84701900,5.20000000E+07,D+,8.12794170,13.59179450,10,10,
Fe,2,226.85630200,6.10000000E+05,C,0.12113874,5.58476799,2,4,
Fe,2,226.86221700,1.10000000E+07,D+,7.53913680,13.00262360,10,8,
Fe,2,226.88217100,4.00000000E+05,C+,0.04770753,5.51071390,8,8,
Fe,2,226.88647000,4.30000000E+06,D+,7.53913680,13.00203960,10,10,
Fe,2,226.89341200,6.10000000E+06,D+,7.76912910,13.23186480,12,10,
Fe,2,226.96957700,3.00000000E+06,D+,8.13089180,13.59179450,12,10,
Fe,2,227.03706000,2.40000000E+07,D+,6.21873433,11.67801410,10,12,
Fe,2,227.05312200,5.20000000E+06,D+,7.54910100,13.00799460,12,10,
Fe,2,227.05774000,2.30000000E+06,D,6.80308000,12.26186250,6,8,
Fe,2,227.11176600,3.70000000E+07,D+,7.78981200,13.24729610,2,4,
Fe,2,227.14131700,9.00000000E+06,D+,7.62659410,13.08336830,10,10,
Fe,2,227.15340500,2.10000000E+06,D,5.22157443,10.67805830,10,10,
Fe,2,227.18435200,3.10000000E+06,D,2.58265947,8.03840010,6,4,
Fe,1,227.20694200,2.92000000E+06,B+,0.05156912,5.50676735,7,9,
Fe,2,227.21871200,2.70000000E+06,D+,7.51659730,12.97151300,12,14,
Fe,2,227.23169000,1.20000000E+07,D+,6.80725830,12.26186250,8,8,
Fe,2,227.29927200,1.40000000E+06,D,8.25598900,13.70897150,10,8,
Fe,2,227.30110200,1.10000000E+06,D,7.54910100,13.00203960,12,10,
Fe,2,227.36867600,1.20000000E+06,D,7.51659730,12.96791550,12,12,
Fe,2,227.37730300,1.00000000E+07,D+,7.58248020,13.03359150,8,8,
Fe,2,227.39584100,3.70000000E+07,D+,7.69732560,13.14799260,10,12,
Fe,2,227.39965400,1.30000000E+06,D,3.26732671,8.71790230,10,10,
Fe,2,227.40632000,1.80000000E+07,D+,6.22249688,11.67291270,8,10,
Fe,2,227.41847000,1.80000000E+07,D+,7.53913680,12.98926150,10,12,
Fe,2,227.44990600,1.20000000E+06,D,7.56821050,13.01758190,6,8,
Fe,1,227.51915900,6.19000000E+06,D+,0.11011433,5.55782726,3,1,
Fe,2,227.53575200,7.00000000E+05,D,7.69732560,13.14464130,10,10,
Fe,2,227.56891000,1.30000000E+06,D,8.14527250,13.59179450,10,10,
Fe,2,227.57545900,1.10000000E+06,D,7.54289610,12.98926150,14,12,
Fe,1,227.60256400,1.25000000E+07,D+,0.00000000,5.44571679,9,7,
Fe,2,227.60745100,6.90000000E+07,D+,7.80419090,13.24979080,8,6,
Fe,2,227.63478800,1.50000000E+06,D,7.55767760,13.00262360,8,8,
Fe,2,227.65651500,1.50000000E+07,D+,6.20862290,11.65304930,4,6,
Fe,2,227.69647100,3.50000000E+07,D+,7.80631980,13.24979080,4,6,
Fe,2,227.72958300,2.20000000E+06,D,7.53913680,12.98181650,10,8,
Fe,2,227.77985000,5.00000000E+06,D+,6.13807600,11.57955500,4,6,
Fe,2,227.79208100,4.30000000E+06,D+,7.72699840,13.16818490,8,6,
Fe,2,227.79548100,6.00000000E+06,D+,6.22249688,11.66360220,8,8,
Fe,2,227.80088000,5.00000000E+06,D,7.80631980,13.24729610,4,4,
Fe,2,227.82868800,1.10000000E+06,D,7.56172730,13.00203960,10,10,
Fe,2,227.86865800,1.30000000E+06,D,7.55767760,12.99703580,8,6,
Fe,2,227.87633100,8.00000000E+05,D,6.22249688,11.66167190,8,10,
Fe,2,227.97128500,1.48000000E+08,C+,7.80419090,13.24110060,8,6,
Fe,2,227.99146700,4.49000000E+06,B+,0.04770753,5.48413599,8,10,
Fe,1,227.99367500,1.88000000E+06,B+,0.08728574,5.52366156,5,7,
Fe,2,228.00903400,7.00000000E+05,D,2.69193206,8.12794170,8,10,
Fe,2,228.04712500,1.30000000E+07,D+,7.58248020,13.01758190,8,8,
Fe,2,228.06059000,5.30000000E+06,D+,7.80631980,13.24110060,4,6,
Fe,2,228.06504400,9.90000000E+07,C+,8.12794170,13.56261650,10,12,
Fe,2,228.12451900,1.80000000E+06,D,7.80419090,13.23744890,8,8,
Fe,2,228.14748100,8.00000000E+06,D+,7.56172730,12.99443850,10,10,
Fe,2,228.17924900,1.10000000E+07,D+,7.63584020,13.06779520,12,12,
Fe,2,228.21553800,7.40000000E+06,D+,7.56741090,12.99850210,2,4,
Fe,2,228.26601100,7.10000000E+06,D+,7.60429220,13.03418270,4,6,
Fe,2,228.27669800,1.86000000E+08,C+,7.84484980,13.27448610,6,4,
Fe,2,228.31186500,6.40000000E+06,D+,7.51659730,12.94539730,12,10,
Fe,1,228.33039500,2.59000000E+06,B+,0.12126572,5.54962521,1,3,
Fe,2,228.35276100,5.20000000E+06,D+,7.62659410,13.05442200,10,8,
Fe,2,228.35924100,5.00000000E+07,D+,7.80419090,13.23186480,8,10,
Fe,1,228.36549600,1.53000000E+06,C,0.11011433,5.53763954,3,5,
Fe,2,228.36997200,1.25000000E+08,C+,7.72699840,13.15441720,8,10,
Fe,2,228.39963400,1.10000000E+07,D+,2.54377802,7.97049210,6,8,
Fe,1,228.40853500,1.29000000E+07,C,0.05156912,5.47807170,7,5,
Fe,2,228.42278900,2.00000000E+06,D,2.27642922,7.70259320,4,4,
Fe,2,228.44210400,8.00000000E+06,D+,7.62845140,13.05415660,14,14,
Fe,2,228.48768400,3.60000000E+07,D+,7.72336960,13.14799260,14,12,
Fe,2,228.58086000,9.00000000E+06,D+,7.54910100,12.97151300,12,14,
Fe,2,228.64801500,1.90000000E+07,D+,7.56741090,12.98823040,2,2,
Fe,2,228.70503200,1.70000000E+08,D+,7.86867380,13.28814200,4,2,
Fe,2,228.71010800,2.80000000E+06,D,7.69514470,13.11449270,8,8,
Fe,1,228.72494900,2.23000000E+07,B+,0.08728574,5.50628207,5,3,
Fe,2,228.73304600,3.40000000E+06,D+,7.48893480,12.90773940,6,8,
Fe,2,228.75622900,6.80000000E+07,D+,7.56741090,12.98566630,2,2,
Fe,2,228.77051100,8.00000000E+05,D,7.62659410,13.04451130,10,10,
Fe,2,228.78209300,4.40000000E+07,D+,7.72699840,13.14464130,8,10,
Fe,2,228.80219200,3.10000000E+06,D+,7.69732560,13.11449270,10,8,
Fe,2,228.81513900,6.90000000E+06,D+,7.51659730,12.93345790,12,14,
Fe,2,228.82287000,6.60000000E+06,D+,8.22973820,13.64641580,8,6,
Fe,2,228.82444600,1.20000000E+06,D,6.21691620,11.63355650,6,6,
Fe,2,228.83568800,8.20000000E+07,C+,8.10405440,13.52042860,12,14,
Fe,2,228.86626500,1.56000000E+08,B+,7.69732560,13.11297620,10,12,
Fe,2,228.89666700,1.90000000E+07,D+,7.53913680,12.95406820,10,8,
Fe,2,228.91679000,3.10000000E+06,D+,8.18454100,13.59899640,10,12,
Fe,2,229.06401200,6.50000000E+06,D+,7.62659410,13.03756990,10,10,
Fe,2,229.19183700,4.60000000E+06,D+,6.22559822,11.63355650,6,6,
Fe,2,229.19987700,1.70000000E+08,D+,7.88037340,13.28814200,2,2,
Fe,2,229.22168900,1.00000000E+07,D+,7.55767760,12.96493170,8,6,
Fe,2,229.22770800,3.10000000E+06,D,8.30700700,13.71411910,6,6,
Fe,2,229.24212800,8.40000000E+05,C+,2.52186911,7.92864110,12,10,
Fe,1,229.25245800,2.96000000E+06,B,0.05156912,5.45809748,7,9,
Fe,2,229.25998800,2.20000000E+06,D+,7.70662540,13.11297620,10,12,
Fe,2,229.26381600,8.00000000E+05,D,7.53913680,12.94539730,10,10,
Fe,2,229.28282600,1.00000000E+08,D+,7.86867380,13.27448610,4,4,
Fe,2,229.31979300,3.30000000E+06,D,7.84484980,13.24979080,6,6,
Fe,2,229.37678300,1.00000000E+07,D+,2.84411707,8.24771530,6,6,
Fe,1,229.38474100,1.09000000E+06,C+,0.08728574,5.49069652,5,5,
Fe,2,229.38595800,2.40000000E+06,D+,3.76769941,9.17108150,10,12,
Fe,2,229.42551700,1.70000000E+07,D+,7.53913680,12.94158730,10,8,
Fe,1,229.44078800,3.61000000E+07,B,0.11011433,5.51220530,3,1,
Fe,2,229.45613600,8.00000000E+06,D+,7.63584020,13.03756990,12,10,
Fe,2,229.46097600,1.40000000E+07,D+,2.82812245,8.22973820,8,8,
Fe,2,229.60964800,8.00000000E+07,D+,5.51071390,10.90883240,8,6,
Fe,2,229.61557100,1.40000000E+07,D+,7.56741090,12.96539020,2,4,
Fe,2,229.66602200,4.60000000E+06,D+,2.67577925,8.07257280,10,8,
Fe,2,229.67660700,2.90000000E+06,D,2.64185518,8.03840010,4,4,
Fe,2,229.68786100,1.82000000E+06,C+,2.54377802,7.94005850,6,8,
Fe,2,229.68912500,5.20000000E+07,D+,7.84484980,13.24110060,6,6,
Fe,1,229.69266100,4.04000000E+06,D+,0.11011433,5.50628207,3,3,
Fe,1,229.77868700,1.44000000E+07,D+,0.05156912,5.44571679,7,7,
Fe,2,229.78017700,1.10000000E+07,D+,7.88037340,13.27448610,2,4,
Fe,1,229.81688200,3.09000000E+07,D+,0.00000000,5.39325126,9,9,
Fe,2,229.82221900,3.40000000E+07,D+,2.64185518,8.03498120,4,2,
Fe,2,229.83852100,1.80000000E+06,D,7.60429220,12.99703580,4,6,
Fe,2,229.84467800,2.90000000E+07,D+,7.84484980,13.23744890,6,8,
Fe,2,229.86168500,2.00000000E+06,D,2.85551515,8.24771530,4,6,
Fe,1,229.86600400,1.59000000E+06,C,0.11011433,5.50221316,3,3,
Fe,2,229.89349500,2.00000000E+06,D,7.65305720,13.04451130,8,10,
Fe,2,229.91338100,1.20000000E+07,D+,7.62659410,13.01758190,10,8,
Fe,1,229.92199100,7.03000000E+06,C,0.08728574,5.47807170,5,5,
Fe,2,229.93155300,1.80000000E+06,D+,7.54289610,12.93345790,14,14,
Fe,2,229.94209400,1.00000000E+07,D+,7.57461700,12.96493170,6,6,
Fe,2,229.97230600,2.10000000E+07,D+,7.72336960,13.11297620,14,12,
Fe,2,229.97528500,2.00000000E+07,D+,8.13089180,13.52042860,12,14,
Fe,2,229.99350000,5.60000000E+06,D+,5.28894824,10.67805830,8,10,
Fe,2,229.99762500,1.40000000E+07,D+,7.56821050,12.95722380,6,6,
Fe,1,230.01416400,4.99000000E+06,B,0.08728574,5.47591165,5,7,
Fe,2,230.03134000,1.80000000E+07,D+,7.69514470,13.08336830,8,10,
Fe,2,230.05237400,2.50000000E+06,D,7.39732380,12.78505480,4,4,
Fe,2,230.06248100,2.10000000E+07,D+,7.72699840,13.11449270,8,8,
Fe,2,230.13239600,1.20000000E+07,D+,7.56821050,12.95406820,6,8,
Fe,2,230.15673900,2.10000000E+07,D+,7.76912910,13.15441720,12,10,
Fe,1,230.16835500,8.68000000E+06,B+,0.12126572,5.50628207,1,3,
Fe,2,230.18988500,1.60000000E+07,D+,7.65305720,13.03756990,8,10,
Fe,2,230.19654900,1.30000000E+06,D,7.54910100,12.93345790,12,14,
Fe,2,230.21567100,5.20000000E+06,D+,7.55767760,12.94158730,8,8,
Fe,2,230.27139900,2.90000000E+06,D,7.57461700,12.95722380,6,6,
Fe,2,230.27900000,1.50000000E+07,D+,7.48893480,12.87136400,6,8,
Fe,2,230.31038300,2.00000000E+07,D+,7.60429220,12.98598800,4,6,
Fe,2,230.33515600,1.20000000E+07,D+,7.86867380,13.24979080,4,6,
Fe,1,230.34241700,7.33000000E+06,C+,0.12126572,5.50221316,1,3,
Fe,1,230.35805500,4.83000000E+06,C+,0.11011433,5.49069652,3,5,
Fe,2,230.38427200,3.00000000E+07,D+,6.13807600,11.51804600,4,6,
Fe,2,230.40649000,2.60000000E+07,D+,7.57461700,12.95406820,6,8,
Fe,2,230.41685200,4.80000000E+06,D+,7.71733630,13.09654560,4,6,
Fe,2,230.42216900,8.00000000E+06,D+,7.53913680,12.91822200,10,10,
Fe,2,230.42864400,9.00000000E+05,D,7.69514470,13.07407880,8,8,
Fe,2,230.47353200,1.10000000E+07,D+,2.80665448,8.18454100,10,10,
Fe,2,230.49048400,6.80000000E+07,D+,5.55260578,10.93009680,6,4,
Fe,2,230.51952300,2.20000000E+07,D+,7.94005850,13.31687220,8,6,
Fe,2,230.52255800,4.60000000E+06,D+,7.70662540,13.08336830,10,10,
Fe,2,230.59673000,9.00000000E+07,D+,6.08774270,11.46275640,2,2,
Fe,2,230.60831300,7.40000000E+06,D+,7.58248020,12.95722380,8,6,
Fe,2,230.63698700,2.20000000E+07,D+,6.21691620,11.59099170,6,8,
Fe,2,230.64501200,4.90000000E+07,D+,7.94582590,13.31971440,6,4,
Fe,2,230.66690800,1.90000000E+08,C+,7.39732380,12.77070220,4,6,
Fe,2,230.66697700,3.70000000E+06,D+,7.56821050,12.94158730,6,8,
Fe,2,230.67341800,1.10000000E+07,D+,8.34089230,13.71411910,4,6,
Fe,2,230.69973300,2.80000000E+06,D,7.57461700,12.94723090,6,6,
Fe,2,230.70776800,2.20000000E+07,D+,7.86867380,13.24110060,4,6,
Fe,2,230.71947200,5.00000000E+06,D+,7.63584020,13.00799460,12,10,
Fe,2,230.73129500,2.04000000E+08,B+,6.21873433,11.59061340,10,10,
Fe,2,230.77200000,3.50000000E+07,D+,6.20862290,11.57955500,4,6,
Fe,2,230.79186000,1.30000000E+07,D+,7.69732560,13.06779520,10,12,
Fe,2,230.80177700,2.30000000E+07,D+,7.69514470,13.06538350,8,6,
Fe,2,230.82958700,2.22000000E+08,C+,7.70581060,13.07540250,6,4,
Fe,2,230.87212600,3.00000000E+06,D+,7.53913680,12.90773940,10,8,
Fe,2,230.87676000,1.69000000E+08,C+,6.22249688,11.59099170,8,8,
Fe,2,230.88650800,6.10000000E+06,D+,7.70581060,13.07407880,6,8,
Fe,2,230.89303000,2.50000000E+07,D+,6.22249688,11.59061340,8,10,
Fe,1,230.89987800,1.02000000E+07,C,0.11011433,5.47807170,3,5,
Fe,2,230.90473700,9.00000000E+06,D+,7.62659410,12.99443850,10,10,
Fe,2,230.94234700,9.00000000E+06,D+,7.57461700,12.94158730,6,8,
Fe,2,230.94439600,3.00000000E+07,D+,7.88037340,13.24729610,2,4,
Fe,2,230.94691400,6.30000000E+07,C+,7.54910100,12.91596520,12,12,
Fe,2,230.95531300,1.10000000E+07,D+,8.10405440,13.47072350,12,14,
Fe,2,230.97092200,6.20000000E+06,D+,7.54289610,12.90920250,14,16,
Fe,2,231.01657700,1.24000000E+08,C+,7.71733630,13.08258230,4,4,
Fe,2,231.02596400,8.00000000E+07,D+,8.03840010,13.40342810,4,4,
Fe,2,231.03790300,7.50000000E+06,D+,7.58248020,12.94723090,8,6,
Fe,2,231.04763800,9.00000000E+06,D+,7.65305720,13.01758190,8,8,
Fe,2,231.07529400,3.70000000E+06,D,7.70581060,13.06969340,6,6,
Fe,2,231.12237000,1.30000000E+07,D+,7.70259320,13.06538350,4,6,
Fe,2,231.12248200,1.20000000E+07,D+,3.26732671,8.63011440,10,8,
Fe,2,231.12872400,1.51000000E+08,C+,6.20862290,11.57126580,4,4,
Fe,2,231.12892000,1.56000000E+08,C+,6.21691620,11.57955500,6,6,
Fe,2,231.19224000,8.00000000E+06,D+,7.70662540,13.06779520,10,12,
Fe,2,231.19533600,7.40000000E+06,D+,7.60429220,12.96539020,4,4,
Fe,2,231.20250200,1.50000000E+07,D+,2.34166141,7.70259320,2,4,
Fe,2,231.21921400,2.80000000E+07,D+,7.55767760,12.91822200,8,10,
Fe,2,231.22230700,9.30000000E+05,C+,2.57958587,7.94005850,10,8,
Fe,2,231.23150000,2.40000000E+08,D+,7.71733630,13.07759590,4,2,
Fe,2,231.23984400,1.80000000E+07,D+,5.54876624,10.90883240,8,6,
Fe,2,231.26112600,1.18000000E+08,C+,7.70581060,13.06538350,6,6,
Fe,2,231.26523000,5.20000000E+07,C+,7.54289610,12.90237400,14,14,
Fe,2,231.27388700,7.20000000E+06,D+,7.69514470,13.05442200,8,8,
Fe,1,231.31041300,1.18000000E+07,D+,0.08728574,5.44571679,5,7,
Fe,2,231.32616600,4.10000000E+07,D+,7.71733630,13.07540250,4,4,
Fe,2,231.33005300,9.00000000E+06,D+,3.76769941,9.12567550,10,12,
Fe,2,231.33639200,2.90000000E+07,D+,6.08774270,11.44557200,2,2,
Fe,2,231.39403900,1.05000000E+08,C+,7.56172730,12.91822200,10,10,
Fe,2,231.39732800,3.10000000E+06,D+,2.82812245,8.18454100,8,10,
Fe,2,231.40562000,2.20000000E+07,D+,5.55260578,10.90883240,6,6,
Fe,2,231.45429900,1.70000000E+07,D+,7.70259320,13.05769340,4,4,
Fe,2,231.46133600,2.30000000E+07,D+,7.65305720,13.00799460,8,10,
Fe,2,231.48674800,2.10000000E+07,D+,6.21691620,11.57126580,6,4,
Fe,2,231.54807500,1.10000000E+07,D+,7.60429220,12.95722380,4,6,
Fe,2,231.55353500,6.60000000E+07,D+,7.69514470,13.04795010,8,6,
Fe,2,231.57293200,2.40000000E+08,C+,7.71733630,13.06969340,4,6,
Fe,2,231.57804500,4.60000000E+07,D+,7.69514470,13.04738360,8,6,
Fe,2,231.58251900,5.10000000E+07,D+,7.56821050,12.92034600,6,6,
Fe,2,231.59345400,2.90000000E+07,D+,7.70581060,13.05769340,6,4,
Fe,2,231.60624100,9.00000000E+06,D+,7.55767760,12.90926500,8,6,
Fe,2,231.60896700,7.60000000E+06,D+,7.70259320,13.05411760,4,4,
Fe,2,231.65122500,7.70000000E+07,C+,7.69514470,13.04569300,8,8,
Fe,2,231.67229200,3.90000000E+06,D+,7.55767760,12.90773940,8,8,
Fe,2,231.69114000,1.10000000E+08,D+,7.56821050,12.91783700,6,4,
Fe,2,231.70054900,2.40000000E+07,D+,7.51659730,12.86600670,12,10,
Fe,2,231.70240100,1.80000000E+07,D+,7.69514470,13.04451130,8,10,
Fe,2,231.70603500,6.50000000E+07,D+,5.58476799,10.93405070,4,2,
Fe,2,231.71904100,3.60000000E+06,D+,7.65305720,13.00203960,8,10,
Fe,2,231.73511900,2.34000000E+08,B+,7.70581060,13.05442200,6,8,
Fe,2,231.73801600,3.10000000E+06,D,2.84411707,8.19266160,6,6,
Fe,2,231.73805800,9.00000000E+06,D+,7.39732380,12.74586730,4,6,
Fe,2,231.75956500,5.10000000E+07,D+,7.71733630,13.06538350,4,6,
Fe,2,231.79636500,2.20000000E+06,D,5.24885175,10.59605000,6,8,
Fe,2,231.81501600,6.40000000E+07,D+,6.08774270,11.43451080,2,4,
Fe,2,231.83183800,7.00000000E+07,D+,7.97049210,13.31687220,8,6,
Fe,2,231.83426800,5.60000000E+06,D+,2.82812245,8.17444660,8,8,
Fe,2,231.84232300,1.90000000E+06,D,4.47910423,9.82524260,4,4,
Fe,2,231.85365900,8.00000000E+06,D+,2.64185518,7.98773220,4,6,
Fe,2,231.85557300,2.80000000E+06,D,4.47910423,9.82493710,4,4,
Fe,2,231.86008000,1.90000000E+07,D+,7.57461700,12.92034600,6,6,
Fe,2,231.86425900,2.60000000E+06,D,6.08774270,11.43337530,2,4,
Fe,2,231.86983600,1.70000000E+07,D+,7.53913680,12.88464090,10,8,
Fe,2,231.90071300,1.90000000E+06,D,8.14527250,13.49006490,10,8,
Fe,2,231.90079900,4.40000000E+07,D+,7.70259320,13.04738360,4,6,
Fe,2,231.92207800,3.20000000E+06,D,7.70259320,13.04689330,4,4,
Fe,2,231.94562800,4.10000000E+07,C+,8.10405440,13.44781190,12,14,
Fe,2,231.96896100,9.00000000E+07,D+,7.57461700,12.91783700,6,4,
Fe,2,231.97584100,1.70000000E+06,D+,7.62845140,12.97151300,14,14,
Fe,2,231.98117600,4.10000000E+07,D+,7.60429220,12.94723090,4,6,
Fe,2,231.99176100,5.80000000E+06,D+,7.72699840,13.06969340,8,6,
Fe,2,232.00347700,1.42000000E+08,C+,7.69514470,13.03756990,8,10,
Fe,2,232.01588400,6.80000000E+07,D+,7.70581060,13.04795010,6,6,
Fe,1,232.03575200,1.41000000E+07,C,0.05156912,5.39325126,7,9,
Fe,2,232.04049200,2.70000000E+07,D+,7.70581060,13.04738360,6,6,
Fe,2,232.06967800,1.30000000E+07,D+,5.58919550,10.93009680,6,4,
Fe,2,232.09332800,2.10000000E+07,D+,7.71733630,13.05769340,4,4,
Fe,2,232.11396400,1.20000000E+06,D,7.70581060,13.04569300,6,8,
Fe,2,232.11616800,2.80000000E+06,D+,8.13089180,13.47072350,12,14,
Fe,2,232.12429100,6.80000000E+07,D+,7.55767760,12.89732250,8,6,
Fe,2,232.12933100,2.20000000E+07,D+,7.56821050,12.90773940,6,8,
Fe,2,232.14939100,3.70000000E+07,D+,7.70662540,13.04569300,10,8,
Fe,2,232.16894200,1.00000000E+07,D+,2.80665448,8.14527250,10,10,
Fe,2,232.17555300,1.55000000E+08,C+,7.51659730,12.85506330,12,10,
Fe,2,232.22688100,2.70000000E+07,D+,7.91965500,13.25694110,12,10,
Fe,2,232.23296100,6.80000000E+06,D+,2.85551515,8.19266160,4,6,
Fe,2,232.24885200,1.10000000E+07,D+,7.71733630,13.05411760,4,4,
Fe,2,232.26630400,1.90000000E+07,D+,7.54289610,12.87927640,14,16,
Fe,2,232.27128600,7.20000000E+06,D+,7.69732560,13.03359150,10,8,
Fe,2,232.29410200,3.22000000E+08,B+,7.58248020,12.91822200,8,10,
Fe,2,232.32705100,3.00000000E+07,D+,7.55767760,12.89266280,8,8,
Fe,2,232.34239800,7.20000000E+06,D+,7.55767760,12.89231040,8,8,
Fe,2,232.35529500,1.20000000E+07,D+,8.10405440,13.43839110,12,12,
Fe,2,232.37150500,6.10000000E+06,D+,8.12794170,13.46190630,10,10,
Fe,2,232.40820500,2.80000000E+07,D+,7.57461700,12.90773940,6,8,
Fe,2,232.45790600,4.00000000E+07,D+,7.98773220,13.31971440,6,4,
Fe,2,232.47503300,3.60000000E+06,D,7.70259320,13.03418270,4,6,
Fe,2,232.48158000,5.40000000E+07,D+,7.56821050,12.89964980,6,6,
Fe,2,232.50316100,2.70000000E+07,D+,7.70662540,13.03756990,10,10,
Fe,2,232.50355600,1.47000000E+08,C+,7.56172730,12.89266280,10,8,
Fe,2,232.51002900,3.30000000E+06,D+,7.72336960,13.05415660,14,14,
Fe,2,232.51892600,1.00000000E+07,D+,7.56172730,12.89231040,10,8,
Fe,2,232.52464300,8.00000000E+06,D,4.49479059,9.82524260,6,4,
Fe,2,232.52931700,1.33000000E+08,B+,7.51659730,12.84694220,12,14,
Fe,2,232.53797200,1.20000000E+07,D,4.49479059,9.82493710,6,4,
Fe,2,232.54229900,1.60000000E+07,D+,7.71733630,13.04738360,4,6,
Fe,2,232.56369700,1.30000000E+07,D+,7.71733630,13.04689330,4,4,
Fe,2,232.57147800,3.72000000E+08,B+,7.56172730,12.89110600,10,12,
Fe,2,232.57614700,4.00000000E+06,D+,7.51659730,12.84586900,12,10,
Fe,2,232.58090600,8.00000000E+07,D+,5.60488800,10.93405070,2,2,
Fe,2,232.58311700,2.80000000E+07,D+,7.56821050,12.89732250,6,6,
Fe,2,232.61541800,3.60000000E+06,D,7.70581060,13.03418270,6,6,
Fe,2,232.61856300,1.40000000E+07,D+,7.92864110,13.25694110,10,10,
Fe,2,232.62211500,3.12000000E+08,B+,7.51659730,12.84481600,12,12,
Fe,2,232.63607000,1.16000000E+08,C+,6.21873433,11.54663340,10,8,
Fe,2,232.64123100,1.10000000E+07,D+,7.70581060,13.03359150,6,8,
Fe,2,232.65463200,2.20000000E+06,D,7.62659410,12.95406820,10,8,
Fe,2,232.67694400,2.14000000E+08,B+,7.55767760,12.88464090,8,8,
Fe,2,232.68102200,2.64000000E+08,B+,7.53913680,12.86600670,10,10,
Fe,2,232.73954100,6.60000000E+07,B+,0.08278213,5.40831276,6,4,
Fe,2,232.74892300,3.40000000E+07,D+,7.92864110,13.25395710,10,8,
Fe,2,232.75360700,1.00000000E+07,D+,5.60488800,10.93009680,2,4,
Fe,2,232.76130100,9.30000000E+07,C+,7.57461700,12.89964980,6,6,
Fe,2,232.76981400,4.70000000E+06,D+,5.23672772,10.56156580,8,10,
Fe,2,232.78751000,4.30000000E+08,B+,7.54910100,12.87353440,12,14,
Fe,2,232.78760700,1.08000000E+08,C+,7.53913680,12.86356790,10,12,
Fe,2,232.79608100,5.90000000E+06,D+,2.80665448,8.13089180,10,12,
Fe,2,232.80208800,8.00000000E+05,D,7.56821050,12.89231040,6,8,
Fe,2,232.80364200,4.30000000E+06,D+,5.58476799,10.90883240,4,6,
Fe,2,232.85398100,5.60000000E+07,D+,7.56172730,12.88464090,10,8,
Fe,2,232.86308300,1.60000000E+07,D+,7.57461700,12.89732250,6,6,
