# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Sn,1,257.15940,4.5e+07,D,1.0678703,5.8877239,5,7,,
Sn,2,257.882,1.0e+07,D+,8.97365992,13.78001,4,6,,
Sn,2,259.23281,1.9e+05,D+,6.2897462,11.0710518,6,6,,
Sn,2,259.27181,2.9e+06,C+,6.2897462,11.0703327,6,8,,
Sn,1,259.44206,3.0e+07,D,1.0678703,5.8453198,5,5,,
Sn,1,263.69922,1.1e+07,D,2.1278787,6.8282058,1,3,,
Sn,1,266.12432,1.1e+07,D,0.2097572,4.86725425,3,3,,
Sn,2,266.496,1.4e+07,D+,8.8640361,13.51503,2,4,,
Sn,1,270.65047,6.6e+07,D,0.2097572,4.78937023,3,5,,
Sn,2,272.7834,1.6e+07,D+,8.97365992,13.517467,4,6,,
Sn,1,276.17804,3.7e+05,D,0.4249773,4.9129366,5,5,,
Sn,1,277.98114,1.8e+07,D,1.0678703,5.5267204,5,7,,
Sn,1,278.50257,1.4e+07,D,1.0678703,5.5183726,5,3,,
Sn,1,278.79204,1.4e+07,D,2.1278787,6.5737602,1,3,,
Sn,1,281.25597,2.3e+07,D,2.1278787,6.5348143,1,3,,
Sn,1,281.35824,1.2e+07,D,1.0678703,5.47320408,5,5,,
Sn,2,282.54849,1.11e+06,C+,7.0530101,11.4397872,2,4,,
Sn,1,283.99769,1.7e+08,D,0.4249773,4.78937023,5,5,,
Sn,1,285.06200,3.3e+07,D,1.0678703,5.41596913,5,5,,
Sn,1,286.33166,5.4e+07,D,0.0000000,4.32881927,1,3,,
Sn,1,291.35605,8.3e+07,D,2.1278787,6.3820517,1,3,,
Sn,2,291.987,2.4e+07,D+,8.8640361,13.10901,2,4,,
Sn,2,299.09965,9.1e+05,C+,7.2957486,11.4397872,4,4,,
Sn,2,299.4451,2.7e+07,D+,8.97365992,13.11292,4,6,,
Sn,1,300.91335,3.8e+07,D,0.2097572,4.32881927,3,3,,
Sn,2,302.39444,7.8e+06,C+,7.2957486,11.3946370,4,2,,
Sn,1,303.27782,6.2e+07,D,2.1278787,6.2148283,1,3,,
Sn,1,303.41148,2.0e+08,D,0.2097572,4.2949066,3,1,,
Sn,2,304.74642,6.8e+06,B+,7.3725320,11.4397872,6,4,,
Sn,1,314.18232,1.9e+07,D,2.1278787,6.0729858,1,3,,
Sn,1,317.50348,1.0e+08,D,0.4249773,4.32881927,5,3,,
Sn,1,321.86807,4.7e+06,D,2.1278787,5.9787857,1,3,,
Sn,1,322.35701,1.2e+05,D,1.0678703,4.9129366,5,5,,
Sn,1,326.23305,2.7e+08,D,1.0678703,4.86725425,5,3,,
Sn,2,328.31399,1.70e+08,B+,7.2957486,11.0710518,4,6,,
Sn,1,333.06073,2.0e+07,D,1.0678703,4.78937023,5,5,,
Sn,2,335.13021,1.21e+07,B+,7.3725320,11.0710518,6,6,,
Sn,2,335.19538,1.82e+08,B+,7.3725320,11.0703327,6,8,,
Sn,2,347.23329,4.5e+07,D+,8.8640361,12.4336451,2,4,,
Sn,2,353.75363,3.6e+06,D,8.8532333,12.3570497,4,6,,
Sn,2,357.53255,5.0e+07,D+,8.97365992,12.4404439,4,6,,
Sn,2,358.23511,8.3e+06,D+,8.97365992,12.4336451,4,4,,
