#element,sp_num,g,Level(eV),Uncertainty(eV)
Al,2,5,4.65905200,
Al,2,3,7.42070500,
Al,2,5,10.59833700,
Al,2,3,11.31659600,
Al,2,1,11.66504800,
Al,2,3,11.67279700,
Al,2,5,11.68782700,
Al,2,1,11.82196800,
Al,2,7,11.84661800,
Al,2,5,11.84675300,
Al,2,3,11.84686900,
Al,2,1,13.07134700,
Al,2,3,13.07308000,
Al,2,5,13.07672900,
Al,2,3,13.25646000,
Al,2,5,13.64939900,
Al,2,1,13.84126500,
Al,2,3,14.88962430,
Al,2,1,15.04755610,
Al,2,7,15.06203400,
Al,2,5,15.06208600,
Al,2,3,15.06212760,
Al,2,5,15.30194100,
Al,2,7,15.30218600,
Al,2,9,15.30254600,
Al,2,7,15.30839000,
Al,2,5,15.47250000,
Al,2,1,15.58520300,
Al,2,3,15.58590830,
Al,2,5,15.58750460,
Al,2,3,15.60576890,
Al,2,3,16.39263490,
Al,2,1,16.46245240,
Al,2,5,16.46792800,
Al,2,7,16.46794000,
Al,2,3,16.46794700,
Al,2,5,16.54416800,
Al,2,7,16.54483300,
Al,2,9,16.54570000,
Al,2,7,16.57442800,
Al,2,5,16.60351350,
Al,2,9,16.63666000,
Al,2,11,16.63666000,
Al,2,7,16.63666000,
Al,2,9,16.63666000,
Al,2,3,16.72787400,
Al,2,1,16.73938990,
Al,2,3,16.73981350,
Al,2,5,16.74061020,
Al,2,3,17.17179800,
Al,2,5,17.17446000,
Al,2,7,17.17663000,
Al,2,9,17.17947000,
Al,2,1,17.20908100,
Al,2,3,17.21085000,
Al,2,5,17.21085000,
Al,2,7,17.21088100,
Al,2,7,17.26422220,
Al,2,5,17.26965400,
Al,2,7,17.30709000,
Al,2,11,17.30709000,
Al,2,9,17.30709000,
Al,2,9,17.30709000,
Al,2,3,17.34774300,
Al,2,1,17.36895000,
Al,2,3,17.36918000,
Al,2,5,17.36965000,
Al,2,5,17.49229700,
Al,2,7,17.49541800,
Al,2,9,17.49950800,
Al,2,3,17.62843800,
Al,2,1,17.65077000,
Al,2,3,17.65107700,
Al,2,5,17.65109600,
Al,2,7,17.65113200,
Al,2,7,17.68064900,
Al,2,5,17.68129600,
Al,2,7,17.71134000,
Al,2,9,17.71134000,
Al,2,11,17.71134000,
Al,2,9,17.71134000,
Al,2,3,17.72493000,
Al,2,1,17.75025000,
Al,2,3,17.75041600,
Al,2,5,17.75082300,
Al,2,5,17.76269900,
Al,2,7,17.76357100,
Al,2,9,17.76492100,
Al,2,3,17.91910800,
Al,2,3,17.93332000,
Al,2,5,17.93334500,
Al,2,7,17.93337800,
Al,2,1,17.93358800,
