# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,209.874108,2.0e+07,C,8.48643755,14.39211349,7,7,,
Cu,2,210.479586,7.7e+07,C+,2.97541889,8.86410828,3,5,,
Cu,2,211.129323,6.6e+07,C,8.52154401,14.39211349,9,7,,
Cu,2,211.209946,3.5e+08,C+,3.25638920,9.12471804,5,3,,
Cu,2,211.252195,1.2e+07,C,8.78322249,14.65037786,7,5,,
Cu,2,211.730874,7.2e+08,B,8.48643755,14.34033006,7,9,,
Cu,2,211.837484,2.7e+07,B,8.48643755,14.33738437,7,5,,
Cu,2,212.297858,2.2e+08,C+,3.25638920,9.09464957,5,5,,
Cu,2,212.510507,2.28e+08,B+,8.78322249,14.61564148,7,9,,
Cu,2,212.526686,6.6e+07,C,8.86410828,14.69608333,5,5,,
Cu,2,212.604362,1.41e+08,B,2.83268156,8.66252610,5,5,,
Cu,2,213.008459,4.4e+07,B+,8.52154401,14.34033006,9,9,,
Cu,2,213.125595,1.3e+07,C,8.78322249,14.59881086,7,7,,
Cu,2,213.434030,7.7e+08,B,8.52154401,14.32872921,9,11,,
Cu,2,213.539887,4.e+07,E,8.53634465,14.34065139,1,3,,
Cu,2,213.598004,4.59e+08,A+,2.71881633,8.52154401,7,9,,
Cu,2,214.470358,1.5e+07,C,8.91695547,14.69608333,7,5,,
Cu,2,214.549206,1.14e+08,B,8.42057990,14.19758413,3,3,,
Cu,2,214.691894,1.04e+08,C,8.91695547,14.69012064,7,7,,
Cu,2,214.894587,1.12e+08,C,8.66252610,14.43024652,5,5,,
Cu,2,214.898283,8.8e+07,B,2.71881633,8.48643755,7,7,,
Cu,2,215.180815,2.59e+08,B,8.66252610,14.42257530,5,7,,
Cu,2,216.131990,3.1e+08,B,8.86410828,14.59881086,5,7,,
Cu,1,216.50934,5.5e+07,C+,0.0000000,5.724709,2,4,,
Cu,2,217.498126,4.9e+08,B,8.91695547,14.61564148,7,9,,
Cu,1,217.89488,9.1e+07,C+,0.0000000,5.688311,2,4,,
Cu,2,217.940994,2.15e+08,B,2.97541889,8.66252610,3,5,,
Cu,2,218.142461,2.4e+07,C,8.91695547,14.59881086,7,7,,
Cu,1,218.17253,9.9e+07,C+,0.0000000,5.681073,2,2,,
Cu,2,218.285780,8.0e+07,C+,8.66252610,14.34065139,5,3,,
Cu,2,218.936930,1.3e+07,C,8.53634465,14.19758413,1,3,,
Cu,2,218.962971,1.04e+08,B,3.25638920,8.91695547,5,7,,
Cu,2,219.226753,2.8e+08,B,2.83268156,8.48643755,5,7,,
Cu,2,219.568192,4.2e+08,B,8.78322249,14.42818752,7,9,,
Cu,2,220.050822,2.1e+08,C,9.06349793,14.69608333,3,5,,
Cu,2,220.980507,2.1e+08,C,8.78322249,14.39211349,7,7,,
Cu,2,221.026693,1.53e+08,C+,3.25638920,8.86410828,5,5,,
Cu,2,221.274730,1.4e+08,C,9.09464957,14.69608333,5,5,,
Cu,2,221.510550,4.9e+08,B,9.09464957,14.69012064,5,7,,
Cu,2,221.810772,3.5e+08,C+,2.83268156,8.42057990,5,3,,
