# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,641.81566,1.5e+07,D+,16.84495017,18.7761891,3,5,,
Cu,2,642.38846,5.6e+07,C+,15.31909404,17.24861095,5,7,,
Cu,2,643.2415,1.5e+07,D+,16.85078224,18.7777404,5,7,,
Cu,2,643.35944,2.7e+06,D+,16.85329783,18.7799027,13,13,,
Cu,2,643.75974,6.7e+06,D+,16.85078224,18.7761891,5,5,,
Cu,2,644.17371,2.4e+07,D+,16.85329783,18.7774674,13,15,,
Cu,2,644.2964,2.3e+07,D+,16.85365501,18.7774582,11,13,,
Cu,2,644.3587,2.0e+07,D+,17.1101772,19.0337944,5,7,,
Cu,2,645.21161,1.4e+07,D+,16.85666744,18.7777417,3,5,,
Cu,2,646.6245,2.3e+07,D+,17.1177912,19.0346679,11,13,,
Cu,2,647.01383,2.3e+07,D+,17.1189425,19.0346658,9,11,,
Cu,2,647.54257,7.5e+06,D+,16.86358269,18.7777417,5,5,,
Cu,2,647.93164,1.5e+07,D+,16.86623170,18.7792413,7,9,,
Cu,2,648.14350,3.4e+07,D+,15.31909404,17.2314784,5,5,,
Cu,2,648.4404,6.5e+06,D+,16.86623170,18.7777404,7,7,,
Cu,2,648.44174,1.4e+07,D+,14.99211615,16.90362090,3,3,,
Cu,2,648.8814,1.9e+07,D+,17.12600360,19.0362132,7,9,,
Cu,2,650.8400,1.7e+07,D+,17.13174967,19.0362108,5,7,,
Cu,2,651.73166,1.7e+07,D+,16.87831334,18.7801690,9,11,,
Cu,2,652.04970,5.7e+06,D+,16.87831334,18.7792413,9,9,,
Cu,2,652.3820,2.1e+07,D+,17.13707861,19.0370383,9,11,,
Cu,2,652.91668,4.6e+06,D+,16.88176511,18.7801690,11,11,,
Cu,2,653.00829,2.0e+07,D+,16.88176511,18.7799027,11,13,,
Cu,2,654.16369,1.9e+07,D+,17.14225144,19.0370365,7,9,,
Cu,2,655.96523,4.9e+06,D+,15.06716123,16.95674247,7,9,,
Cu,2,656.79621,5.1e+05,C,13.43190349,15.31909404,5,5,,
Cu,2,657.61510,4.3e+06,D+,16.89532667,18.7801672,9,9,,
Cu,2,657.70816,1.5e+07,D+,16.89532667,18.7799005,9,11,,
Cu,2,662.42890,2.2e+07,D+,15.12382247,16.99496619,5,5,,
Cu,2,664.13938,2.6e+07,D+,15.12382247,16.9901471,5,7,,
Cu,2,664.87717,1.1e+07,D+,15.31909404,17.1833477,5,3,,
Cu,2,665.13254,3.8e+06,D+,16.9166293,18.7801672,7,9,,
Cu,2,673.9598,7.4e+06,D+,17.1833477,19.0224780,3,5,,
Cu,2,675.88577,1.0e+07,D+,15.12382247,16.9577120,5,3,,
Cu,2,680.21387,3.5e+06,D+,16.95184535,18.7740662,11,11,,
Cu,2,682.10571,3.2e+06,D+,16.95674247,18.7739094,9,9,,
Cu,2,682.32010,1.8e+07,D+,16.95184535,18.7684413,11,13,,
Cu,2,682.47493,7.2e+06,D+,16.95534876,18.7715326,5,7,,
Cu,2,683.05296,1.8e+07,D+,17.21137034,19.0260172,7,9,,
Cu,2,683.30244,8.1e+06,D+,16.9577120,18.7716964,3,5,,
Cu,2,683.74936,9.e+06,D+,16.95534876,18.7681475,5,5,,
Cu,2,684.41542,1.8e+07,D+,16.95674247,18.7677770,9,11,,
Cu,2,686.30599,1.8e+07,D+,17.21928405,19.0253297,9,11,,
Cu,2,687.94043,5.5e+06,C,13.43190349,15.23365834,5,3,,
Cu,2,689.48061,1.0e+07,D+,16.97583600,18.7735661,7,9,,
Cu,2,690.26139,8.0e+06,D+,16.97583600,18.7715326,7,7,,
Cu,2,692.8592,1.1e+07,D+,17.2314784,19.0204422,5,7,,
Cu,2,693.75472,3.9e+06,C,13.43190349,15.21855811,5,5,,
Cu,2,693.9098,4.8e+06,D+,16.9901471,18.7764025,7,7,,
Cu,2,694.87964,1.1e+07,D+,16.9901471,18.7739094,7,9,,
Cu,2,695.01341,3.1e+06,D+,16.9901471,18.7735661,7,9,,
Cu,2,695.28664,1.4e+07,D+,16.99134811,18.7740662,9,11,,
Cu,2,695.3914,1.5e+07,D+,17.24861095,19.0310604,7,9,,
Cu,2,695.48176,4.4e+06,D+,16.99134811,18.7735661,9,9,,
Cu,2,695.7869,1.1e+07,D+,16.99496619,18.7764025,5,7,,
Cu,2,696.3427,1.3e+07,D+,17.2514154,19.0314299,5,7,,
Cu,2,697.62990,5.6e+06,D+,16.99496619,18.7716964,5,5,,
Cu,2,715.77517,5.2e+05,C,13.39213301,15.12382247,7,5,,
Cu,2,725.57899,6.5e+06,D+,15.12382247,16.83211397,5,5,,
Cu,2,732.60039,1.80e+07,B,13.43190349,15.12382247,5,5,,
Cu,2,738.22720,1.6e+07,D+,15.1776443,16.85666744,1,3,,
Cu,2,739.98787,2.57e+07,B,13.39213301,15.06716123,7,7,,
Cu,2,740.43532,2.0e+07,D+,14.88955782,16.56357381,5,7,,
Cu,2,742.05668,3.1e+06,C,13.64873568,15.31909404,3,5,,
Cu,2,743.41525,1.3e+07,D+,15.1776443,16.84495017,1,3,,
Cu,2,743.81505,1.0e+07,D+,15.15384714,16.82025682,1,3,,
Cu,2,749.32883,3.0e+06,D+,17.1596556,18.8138034,7,7,,
Cu,2,756.20167,3.8e+07,B,13.64873568,15.2878496,3,3,,
Cu,2,757.90283,4.1e+07,B,13.68365916,15.31909404,5,5,,
Cu,2,757.98494,1.15e+07,B,13.43190349,15.06716123,5,7,,
Cu,2,765.23337,2.35e+07,B,13.39213301,15.01190137,7,7,,
Cu,2,766.46465,3.5e+07,D+,14.96299738,16.58016369,7,5,,
Cu,2,771.2421,3.7e+06,D+,17.2022889,18.8094378,5,7,,
Cu,2,772.66439,1.70e+07,B,13.68365916,15.2878496,5,3,,
Cu,2,773.86644,4.5e+07,D+,15.21855811,16.82025682,5,3,,
Cu,2,773.9505,7.1e+06,D+,17.2022889,18.8038136,5,5,,
Cu,2,775.43653,9.e+06,D+,15.23365834,16.83211397,3,5,,
Cu,2,777.31992,1.08e+06,C,13.39213301,14.98671572,7,5,,
Cu,2,777.87347,1.3e+07,D+,14.98671572,16.58016369,5,5,,
Cu,2,780.51878,1.6e+07,D+,14.99211615,16.58016369,3,5,,
Cu,2,780.76526,3.6e+07,C+,14.97602760,16.56357381,9,7,,
Cu,2,781.23164,1.2e+07,D+,15.23365834,16.82025682,3,3,,
Cu,2,782.05768,1.51e+07,B,13.64873568,15.23365834,3,3,,
Cu,2,782.56530,5.2e+07,B,13.39213301,14.97602760,7,9,,
Cu,2,784.50795,3.8e+07,D+,15.25214151,16.83211397,7,5,,
Cu,2,786.2654,2.9e+06,D+,17.2373625,18.8138034,5,7,,
Cu,2,789.05666,5.8e+06,B,13.39213301,14.96299738,7,7,,
Cu,2,789.58039,4.3e+07,B,13.64873568,15.21855811,3,5,,
Cu,2,790.25499,4.9e+07,B,13.68365916,15.25214151,5,7,,
Cu,2,794.44365,4.7e+07,B,13.43190349,14.99211615,5,3,,
Cu,2,796.7065,1.0e+07,D+,17.5068946,19.0626760,7,9,,
Cu,2,797.20306,2.9e+07,B,13.43190349,14.98671572,5,5,,
Cu,2,798.81620,1.7e+07,D+,15.01190137,16.56357381,7,7,,
Cu,2,799.67854,3.2e+07,B,13.68365916,15.23365834,5,3,,
Cu,2,800.6525,5.9e+06,D+,17.5120931,19.0602068,5,7,,
Cu,2,802.64828,8.2e+06,D+,15.2878496,16.83211397,3,5,,
Cu,2,805.3358,2.3e+06,D+,17.2748608,18.8139718,7,9,,
Cu,2,807.4999,3.5e+06,D+,17.1596556,18.6946417,7,5,,
Cu,2,807.54576,2.8e+05,C,13.68365916,15.21855811,5,5,,
Cu,2,808.85888,1.6e+07,D+,15.2878496,16.82025682,3,3,,
Cu,2,809.55268,3.7e+07,B,13.43190349,14.96299738,5,7,,
Cu,2,810.3353,2.7e+06,D+,17.2748608,18.8044761,7,9,,
Cu,2,815.4012,5.4e+06,D+,17.2828748,18.8029869,9,11,,
Cu,2,819.22333,2.0e+07,D+,15.31909404,16.83211397,5,5,,
Cu,2,819.23279,5.9e+06,D+,15.06716123,16.58016369,7,5,,
Cu,2,823.52788,4.6e+07,B,13.64873568,15.15384714,3,1,,
Cu,2,827.75527,4.3e+07,B,13.39213301,14.88955782,7,5,,
Cu,2,832.8393,3.1e+06,D+,17.3256879,18.8139718,7,9,,
Cu,2,833.3072,2.3e+06,D+,17.2022889,18.6897371,5,7,,
Cu,2,833.63323,1.4e+06,D+,16.6276287,18.11449521,11,13,,
Cu,2,835.3843,3.1e+06,D+,17.3256879,18.8094378,7,7,,
Cu,2,840.29047,3.9e+06,C,13.64873568,15.12382247,3,5,,
Cu,2,850.33976,1.6e+06,C,13.43190349,14.88955782,5,5,,
Cu,2,851.10647,1.0e+07,D+,15.12382247,16.58016369,5,5,,
Cu,2,860.66732,7.9e+06,B,13.68365916,15.12382247,5,5,,
Cu,2,879.70968,1.6e+06,D+,16.7059859,18.11497525,9,11,,
Cu,2,881.0397,2.4e+06,D+,17.2828748,18.6897371,9,7,,
Cu,2,895.91604,1.6e+05,C,13.68365916,15.06716123,5,7,,
Cu,2,900.5754,2.5e+06,D+,16.9955295,18.37187365,7,9,,
Cu,2,903.6132,9.e+05,D+,16.9960236,18.3677408,11,13,,
Cu,2,906.79717,3.9e+05,C,13.39213301,14.75903379,7,5,,
Cu,2,908.6928,1.7e+06,D+,17.3256879,18.6897371,7,7,,
Cu,2,910.7878,9.1e+04,C,13.39213301,14.7530447,7,9,,
Cu,2,922.67371,1.3e+06,C,13.64873568,14.99211615,3,3,,
Cu,2,927.7400,4.6e+06,D+,18.1056931,19.4417376,11,13,,
Cu,2,933.18965,1.2e+06,C,13.68365916,15.01190137,5,7,,
Cu,2,933.97151,6.8e+05,C,13.43190349,14.75903379,5,5,,
Cu,2,947.30050,1.13e+06,C,13.68365916,14.99211615,5,3,,
Cu,2,951.22653,1.3e+06,C,13.68365916,14.98671572,5,5,,
Cu,2,961.0884,5.9e+06,D+,17.0619788,18.3516646,1,3,,
Cu,2,967.0172,3.5e+06,D+,18.1541632,19.4359419,9,11,,
Cu,2,968.86189,2.5e+05,C,13.68365916,14.96299738,5,7,,
Cu,2,973.21264,2.1e+06,D+,16.84135293,18.11497188,9,9,,
Cu,2,973.58031,9.e+06,D+,16.84135293,18.11449091,9,11,,
Cu,2,981.32047,4.1e+07,C+,16.84495017,18.1080463,3,5,,
Cu,2,981.3325,1.7e+07,D+,16.84495017,18.1080308,3,3,,
Cu,2,981.73974,1.8e+06,D+,16.85078224,18.11333896,5,7,,
Cu,2,982.79787,7.5e+06,D+,16.85329783,18.11449521,13,13,,
Cu,2,983.07965,7.7e+06,D+,16.85365501,18.11449091,11,11,,
Cu,2,983.78372,4.4e+07,C+,16.85078224,18.11071578,5,7,,
Cu,2,985.0504,2.8e+07,D+,16.8497175,18.1080308,1,3,,
Cu,2,985.87254,1.9e+07,D+,16.85078224,18.1080463,5,5,,
Cu,2,986.128027,6.7e+07,B,16.85329783,18.11023616,13,15,,
Cu,2,986.413643,6.6e+07,B,16.85365501,18.11022940,11,13,,
Cu,2,986.80940,5.6e+07,C+,17.1101772,18.3662476,5,7,,
Cu,2,987.08012,5.4e+05,C,13.39213301,14.6478590,7,7,,
Cu,2,988.14639,2.1e+07,D,16.86060093,18.11497188,7,9,,
Cu,2,988.37091,5.4e+06,D+,17.1177912,18.37187722,11,11,,
Cu,2,988.39674,3.9e+07,C+,16.85666744,18.11072068,3,5,,
Cu,2,989.2940,3.1e+07,D,17.1133386,18.3662544,3,5,,
Cu,2,989.43443,1.0e+07,D+,16.86060093,18.11333896,7,7,,
Cu,2,990.5091,3.7e+06,D+,16.85666744,18.1080463,3,5,,
Cu,2,990.5214,1.5e+07,D+,16.85666744,18.1080308,3,3,,
Cu,2,991.64172,6.6e+07,B,17.1177912,18.3677408,11,13,,
Cu,2,991.79510,3.8e+07,C+,16.86358269,18.11333896,5,7,,
Cu,2,992.55883,6.5e+07,B,17.1189425,18.3677371,9,11,,
Cu,2,993.87730,2.1e+07,C+,16.86358269,18.11072068,5,5,,
Cu,2,993.89960,4.4e+07,C+,16.86623170,18.11334172,7,9,,
Cu,2,995.99679,1.9e+07,C+,16.86623170,18.11071578,7,7,,
Cu,2,996.03485,5.6e+07,B,17.12600360,18.37044013,7,9,,
Cu,2,998.1379,1.9e+06,D+,16.86623170,18.1080463,7,5,,
Cu,2,999.4019,9.e+06,D+,17.12600360,18.3662476,7,7,,
